"","vocab_app","sort.freq_vocab..decreasing...TRUE.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","word_attribute_sorted"
"39","work",121,0.00117697383738215,0.00355435700971498,0.00821483389581946,0.00437411620159308,0.00162150418399976,1.88094134831226e-05,0.00115815724317819,0.00154838334295327,0.00398752471483638,0.0104786375906521,0.00564827292248434,10
"40","practice",119,1.34298319379169e-26,0.015073559763323,0.000189992450925767,0.00165171746221398,5.38007839006346e-14,7.03204615005331e-05,0.000237297382239928,0.00708188741194176,0.00360814873510309,0.00313112211201144,3.61595373776828e-31,2
"41","transition",119,0.000751592425681667,0.00800367641899095,0.002854218245026,0.000958184965925158,0.00327064430381547,0.00629446820694226,0.00118281428054473,3.75356355417360e-12,0.00268055445103027,0.000903879620651325,0.00122366700909026,2
"42","increase",118,0.00372884834640398,4.22395080403513e-06,0.00747567245823154,0.00157732125479343,0.00370475182713101,0.00193494897390346,0.00328241963391689,0.000434317181572782,0.000782228336982591,0.00435182504836389,0.000772974993231757,3
"43","different",116,0.00114004837710213,0.00159821011954335,0.000452197870387307,0.00433532898359569,0.00554667762043775,0.00280558305003281,0.00165876488904634,0.00115722983821045,0.00288377132283817,5.01218265377714e-17,0.00253620163821097,5
"44","resource",116,2.30886777225287e-87,2.38211987306233e-10,0.00696590757314931,0.00609391742352714,0.00317943447465328,0.00151178784792609,0.00426055316323253,0.00462163448385615,0.00316514909126906,0.0029608681933042,0.00129577931538405,3
"45","towards",116,0.00130194762219989,0.00487241434933315,0.00239749745891086,0.000584958984604425,0.00517084706804997,0.00210677572682544,2.27092520895125e-10,0.00212157634326438,0.0016862377965256,0.00296893278051842,0.000940609727546636,5
"46","current",113,0.002344697366447,0.00230903060345653,0.00156972731008628,0.00225152108332984,0.00224077652248182,0.00245584602817806,0.000393153984602346,0.00216627977987358,0.00221884309454699,0.00298191104956101,0.00288130439645576,10
"47","human",113,0.0012958749680759,0.000817058397199538,0.00252153982103829,0.0148188319703033,0.00204193089814958,0.00310672226318115,0.00357430137631333,0.00439100096592484,0.0006434681879898,0.00454810229115153,0.0027488427720923,4
"48","world",111,0.00276186998961066,0.00138850975184821,0.00171247296623491,0.00501179936147237,0.000201787054858601,0.00154551140933672,0.00172719771612426,0.00129559280205114,0.00298600401362274,0.00249321703351925,0.00845164099127354,11
"49","production",109,2.16204930767976e-44,0.000603960595830858,0.00373965458477203,0.00217367452886533,0.00617680437953714,1.7563999545465e-31,0.00134770625834051,0.00441905674489065,0.00159653286769137,0.00452005464624132,0.00209438753369403,5
"50","provide",109,0.00278542884712058,0.00279523966519921,0.00255157536010697,0.000909737280510457,0.000442614420650177,0.00157248579609643,0.000387017186183672,0.00372821577906268,0.00161570384648405,0.00592916643280277,0.000228869081933127,10
"51","potential",107,0.00248429245412534,0.00281371299493462,0.000181121063693634,3.97629091465556e-34,0.00406668124554954,0.00226626137166232,0.000244769727024207,0.00201170446702089,0.00323233514575392,0.00151844360400382,2.79248821317987e-28,5
"52","two",107,0.00123200073683142,0.00248033383499916,0.00143859613017549,9.25758685070519e-05,0.00368015807916363,0.00256381388255444,4.91863704478928e-36,0.00270887075174292,0.0031456316064213,0.000338669929044177,0.000953921557612635,5
"53","consider",106,0.00196057444508059,0.00295447990881362,0.00187399096575245,0.000455379139662552,0.00351270384401477,0.000182725912998207,0.00416321734907233,0.000972064671492773,0.00212966734579968,0.000887605237120151,0.00239152760621972,7
"54","model",104,0.0026625790194189,1.82299024675302e-21,0.00846119701230675,0.00235162179558512,0.00274537182223993,0.00167158974774553,0.00350372660033236,0.003866666153654,0.000852169444661811,0.00449718809003767,0.000424218015933822,3
"55","strategy",104,0.00338963279512672,0.00305611983823079,0.00378705401553945,0.0011063161306731,0.00355766602394852,0.00248864455254797,0.000935523597806295,0.00061702645984961,0.00275631678034826,2.80990080918941e-35,0.00102880998477499,3
"56","consumption",103,0.00102073742357442,9.20236500225565e-08,0.00429818090236521,0.00174941748808406,0.0117312669126806,0.000435815695811544,0.00237007940122,0.00282205431199099,3.15437703217548e-11,2.21364740200392e-17,0.00165617865358715,5
"57","transformation",103,0.000294136233745979,0.0108729914511641,0.000264099832232562,0.000479696825725058,6.63579488664179e-20,1.04711125854399e-17,0.00736191206691092,1.16541541114909e-26,0.00600402073268817,0.00060624473647245,2.46558892296661e-67,2
"58","first",102,0.00554631958086248,0.000792719854799212,0.00160941073510937,9.27653982721118e-44,0.0030168166885772,0.00189886841803722,0.00199297327550138,9.54982185826096e-07,0.00158010962906099,0.00128445861769396,0.00236925211574544,1
"59","analysis",101,0.00346050813166658,0.00203983428737615,0.00034852275031854,3.74874293118563e-23,0.00828889144056099,0.00325276573475889,0.00100835759162888,4.56225407817477e-17,0.000874135220849823,8.53879079486624e-09,1.43896919647071e-35,5
"60","take",101,0.00333218568520114,0.00218250672178861,0.00191460387446163,0.00480785936953034,0.00114188828782749,0.00221461654411202,0.00114491375942669,0.00207649831126869,0.000615506233078673,0.00555887409371674,0.000669725228350893,10
